id,default,idade,sexo,dependentes,escolaridade,estado_civil,salario_anual,tipo_cartao,meses_de_relacionamento,qtd_produtos,iteracoes_12m,meses_inativo_12m,limite_credito,valor_transacoes_12m,qtd_transacoes_12m
768805383,0,45,M,3,"ensino medio",casado,"$60K - $80K",blue,39,5,3,1,"12.691,51","1.144,90",42
818770008,0,49,F,5,mestrado,solteiro,"menos que $40K",blue,44,6,2,1,"8.256,96","1.291,45",33
713982108,0,51,M,3,mestrado,casado,"$80K - $120K",blue,36,4,0,1,"3.418,56","1.887,72",20
769911858,0,40,F,4,"ensino medio",na,"menos que $40K",blue,34,3,1,4,"3.313,03","1.171,56",20
709106358,0,40,M,3,"sem educacao formal",casado,"$60K - $80K",blue,21,5,0,1,"4.716,22","816,08",28
713061558,0,44,M,2,mestrado,casado,"$40K - $60K",blue,36,3,2,1,"4.010,69","1.088,07",24
810347208,0,51,M,4,na,casado,"$120K +",gold,46,6,3,1,"34.516,72","1.330,87",31
818906208,0,32,M,0,"ensino medio",na,"$60K - $80K",silver,27,2,2,2,"29.081,49","1.538,32",36
710930508,0,37,M,3,"sem educacao formal",solteiro,"$60K - $80K",blue,36,5,0,2,"22.352,50","1.350,14",24
719661558,0,48,M,2,mestrado,solteiro,"$80K - $120K",blue,36,6,3,3,"11.656,41","1.441,73",32
708790833,0,42,M,5,"sem educacao formal",na,"$120K +",blue,31,5,2,3,"6.748,40","1.201,27",42
710821833,0,65,M,1,na,casado,"$40K - $60K",blue,54,6,3,2,"9.095,59","1.314,42",26
710599683,0,56,M,1,graduacao,solteiro,"$80K - $120K",blue,36,3,0,6,"11.751,09","1.539,95",17
816082233,0,35,M,3,mestrado,na,"$60K - $80K",blue,30,5,3,1,"8.547,74","1.311,48",33
712396908,0,57,F,2,mestrado,casado,"menos que $40K",blue,48,5,2,2,"2.436,00","1.570,23",29
714885258,0,44,M,4,na,na,"$80K - $120K",blue,37,5,2,1,"4.234,96","1.348,10",27
709967358,0,48,M,4,doutorado,solteiro,"$80K - $120K",blue,36,6,3,2,"30.367,57","1.671,12",27
753327333,0,41,M,3,na,casado,"$80K - $120K",blue,34,4,1,4,"13.535,91","1.028,75",21
806160108,0,61,M,1,"ensino medio",casado,"$40K - $60K",blue,56,2,3,2,"3.193,51","1.336,54",30
709327383,0,45,F,2,mestrado,casado,na,blue,37,6,2,1,"14.470,78","1.207,79",21
806165208,0,47,M,1,doutorado,divorciado,"$60K - $80K",blue,42,5,0,2,"20.979,05","1.178,72",27
708508758,1,62,F,0,mestrado,casado,"menos que $40K",blue,49,2,3,3,"1.438,73","692,25",16
784725333,0,41,M,3,"ensino medio",casado,"$40K - $60K",blue,33,4,1,2,"4.470,45","931,04",18
811604133,0,47,F,4,na,solteiro,"menos que $40K",blue,36,3,2,3,"2.492,08","1.126,97",23
789124683,0,54,M,2,na,casado,"$80K - $120K",blue,42,4,3,2,"12.217,38","1.110,07",21
771071958,0,41,F,3,mestrado,solteiro,"menos que $40K",blue,28,6,2,1,"7.768,43","1.052,00",22
720466383,0,59,M,1,"ensino medio",na,"$40K - $60K",blue,46,4,2,1,"14.784,12","1.197,92",23
804424383,0,63,M,1,na,casado,"$60K - $80K",blue,56,3,2,3,"10.215,26","1.904,01",40
718813833,0,44,F,3,"sem educacao formal",solteiro,na,blue,34,5,2,2,"10.100,66","1.052,46",18
806624208,0,47,M,4,"ensino medio",casado,"$40K - $60K",blue,42,6,0,0,"4.785,24","1.045,67",38
778348233,0,53,M,3,na,casado,"$80K - $120K",blue,33,3,3,2,"2.753,96","1.038,80",25
712991808,0,53,M,2,"sem educacao formal",casado,"$60K - $80K",blue,48,2,1,5,"2.451,40","1.596,34",26
709029408,0,41,M,4,mestrado,casado,"$60K - $80K",blue,36,4,2,1,"8.923,23","1.589,11",24
788658483,0,53,F,2,graduacao,casado,"menos que $40K",blue,38,5,3,2,"2.650,38","1.411,63",28
787937058,0,58,M,0,mestrado,casado,"$80K - $120K",blue,49,6,2,2,"12.555,16","1.291,68",24
715318008,0,55,F,1,graduacao,solteiro,"menos que $40K",blue,36,4,1,2,"3.520,61","1.407,71",43
713962233,0,55,F,3,mestrado,casado,"menos que $40K",blue,36,6,3,2,"3.035,78","1.877,05",37
785432733,0,42,F,4,"ensino medio",casado,"menos que $40K",gold,36,2,3,3,"15.433,35","966,80",22
715190283,0,57,F,1,mestrado,na,"$40K - $60K",blue,49,3,2,3,"3.672,19","1.464,46",28
708300483,1,66,F,0,doutorado,casado,na,blue,56,5,3,4,"7.882,47","704,78",16
827111283,0,45,M,3,mestrado,solteiro,"$80K - $120K",blue,41,2,2,2,"32.426,29","1.109,51",28
758551608,0,51,M,2,na,casado,"$40K - $60K",blue,44,4,0,1,"6.205,02","1.347,47",28
773146383,0,50,F,1,graduacao,solteiro,"$40K - $60K",silver,43,3,3,2,"17.304,68","1.756,00",33
778493808,0,49,M,3,"ensino medio",casado,"$60K - $80K",blue,37,5,1,2,"3.906,40","1.756,49",32
720572508,0,38,F,4,mestrado,solteiro,na,blue,28,2,3,3,"9.830,13","1.042,80",23
712661433,0,49,M,4,"sem educacao formal",solteiro,"$80K - $120K",blue,30,3,3,2,"34.516,07","1.444,77",28
789172683,0,56,M,2,doutorado,casado,"$60K - $80K",blue,45,6,0,2,"2.283,59","1.741,52",27
738406533,0,59,M,1,doutorado,casado,"$40K - $60K",blue,52,3,2,2,"2.548,58","1.719,18",27
799723908,0,46,M,3,"ensino medio",casado,"$80K - $120K",blue,40,4,3,3,"19.458,61","1.217,71",27
771490833,0,52,M,1,graduacao,solteiro,"$80K - $120K",blue,40,5,1,1,"4.745,36","1.140,09",40
720756708,0,52,F,3,na,casado,"menos que $40K",blue,41,6,2,3,"2.622,45","1.878,14",30
779471883,1,54,F,1,mestrado,casado,"menos que $40K",blue,40,2,1,3,"1.438,08","705,59",19
711525033,0,66,F,0,"ensino medio",casado,"menos que $40K",blue,54,3,2,4,"3.171,17","1.946,81",38
712813458,0,49,M,2,na,casado,"$120K +",blue,36,4,0,2,"19.763,65","1.414,42",35
714374133,1,56,M,2,mestrado,casado,"$120K +",blue,36,1,3,3,"15.769,34","602,60",15
717891558,0,49,F,4,mestrado,na,"menos que $40K",blue,36,6,2,4,"3.298,68","1.052,40",32
